lipids,lipid_class,TAV_md_M1,TAV_md_M2,TAV_md_M3,TAV_md_M4,TAV_md_M5,TAV_md_M6,TAV_md_M7,TAV_md_M8,TAV_fib_M1,TAV_fib_M2,TAV_fib_M3,TAV_fib_M4,TAV_fib_M5,TAV_fib_M6,TAV_fib_M7,TAV_fib_M8,TAV_fib_M9,TAV_fib_M10,TAV_cal_M1,TAV_cal_M2,TAV_cal_M3,TAV_cal_M4,TAV_cal_M5,TAV_cal_M6,TAV_cal_M7,TAV_cal_M8,TAV_cal_M9,TAV_md_F1,TAV_md_F2,TAV_md_F3,TAV_md_F4,TAV_md_F5,TAV_md_F6,TAV_fib_F1,TAV_fib_F2,TAV_fib_F3,TAV_fib_F4,TAV_fib_F5,TAV_fib_F6,TAV_fib_F7,TAV_fib_F8,TAV_fib_F9,TAV_cal_F1,TAV_cal_F2,TAV_cal_F3,TAV_cal_F4,TAV_cal_F5,TAV_cal_F6,TAV_cal_F7,TAV_cal_F8,TAV_cal_F9
CE(16:0),CE,76.89781,248.24879,77.54066,223.78758,163.06255,109.25142,144.27042,176.55957,305.77844,189.67994,369.65713,132.58514,158.34725,444.16439,449.44806,369.47601,127.27192,260.02108,515.99843,375.36044,412.65094,159.26006,183.87324,409.35763,353.17831,218.92527,441.85653,102.43556,170.31734,134.79344,113.2032,44.99802,86.97428,463.43493,440.59696,285.0319,426.39942,368.15313,84.27076,290.84659,1125.11436,157.80967,458.85353,432.48957,372.60142,469.58833,241.85936,480.12203,443.32799,531.394,272.79315
CE(17:1),CE,3.03234,13.08532,2.3016,13.49773,5.10193,4.4192,4.08374,8.47118,15.26112,8.87273,23.05619,4.58681,7.96343,35.85252,43.08128,27.35411,7.80544,14.21364,24.01788,29.57048,28.20194,5.68778,7.9153,31.3923,20.03795,9.54745,42.1623,2.38359,12.45873,4.74631,10.13286,0.80924,1.47417,131.08709,56.09604,17.90668,51.46786,33.79357,3.70626,78.74614,66.86545,6.29534,37.82903,41.76634,27.16446,69.41431,17.83133,65.01035,33.91087,91.51081,16.28586
CE(18:0),CE,6.34884,19.91307,9.19094,31.66378,11.15016,9.28725,13.14816,30.83197,28.71407,16.24595,42.32682,18.81556,17.19134,83.32923,106.39173,84.30992,14.05512,35.57829,47.0967,63.7956,50.83594,24.36297,15.96539,52.33658,50.00202,29.70256,69.60462,5.38255,19.596,7.75464,9.78915,2.3046,5.86983,191.05908,95.00554,51.06574,78.72053,56.9794,7.5662,79.42596,173.38626,20.39708,65.38193,59.60298,43.67648,91.46718,40.98188,57.23461,73.60858,103.16381,41.27869
CE(18:1),CE,753.3291,2131.14643,841.1836,2206.06079,1993.85114,1074.62269,1230.50194,1956.49154,3283.17898,1589.38334,3256.71599,1341.41445,1556.56537,4086.96735,5048.67884,3650.39345,1376.3205,2564.53925,4802.49848,3199.59674,3375.46537,1591.75631,1507.86676,3233.73371,2765.28401,2059.66767,4561.56284,1102.6416,1669.16605,1548.05556,1050.91317,532.41255,945.76888,8449.19726,5105.67316,2678.86213,4267.46547,3145.09743,873.04397,6779.97724,7878.35605,1567.63573,3547.59147,3523.23242,3158.91682,5223.03566,2358.01061,3457.76759,3505.9096,7622.3388,2252.30703
CE(18:2),CE,3769.9698,9022.82815,4329.66467,7798.26046,7673.81354,5616.3195,5755.19326,8216.77309,10647.37937,8270.98341,13637.44488,6467.65261,6460.621,19325.52434,20330.66046,13365.03839,5573.25152,8275.95251,13025.89257,11064.01606,10979.96934,7959.04855,6509.84595,14913.56141,11574.32837,7670.01376,15824.63103,4627.87329,7774.77745,7487.64997,4129.68012,2101.72621,4359.51835,32834.55926,18567.5181,10059.48427,19103.72649,11776.6683,3742.8895,19565.38188,25556.75716,6791.55712,12833.65302,14037.84846,12515.11522,19816.67078,8874.54669,12921.7641,12224.22211,17202.59953,8844.32966
CE(18:3),CE,61.66596,155.46229,66.5457,95.65426,105.25081,46.3424,27.49206,224.66166,214.57121,198.21707,109.71406,118.31321,100.97168,220.08297,372.39361,524.00091,206.4413,428.62604,165.93767,295.22273,124.35642,127.10318,124.91243,273.31065,454.67054,225.35184,473.74273,115.69202,175.92908,150.50081,72.16706,68.80019,90.34132,2586.56518,841.14356,319.5703,1402.07533,453.23383,92.4328,1550.76576,887.09618,100.65208,393.8946,835.89484,670.84983,827.62323,318.90704,418.31667,807.86264,849.47294,313.57285
CE(20:3),CE,108.78159,358.04486,122.73554,430.78307,242.86209,126.37523,146.27022,438.53456,609.61852,335.11593,553.76342,207.1019,309.51869,932.76362,1339.51571,1018.28846,292.10366,588.26985,673.37044,720.18241,458.29129,246.79021,288.76811,588.64048,637.00783,418.77499,1101.69535,180.22062,366.69908,230.82371,129.17486,82.46916,114.03178,4276.80615,2017.68564,612.48226,1072.39217,927.96199,155.01343,2494.63691,2619.39599,258.1002,762.40712,1372.00479,478.75655,1895.17296,613.00144,629.51546,1363.9345,1720.57082,537.58934
CE(20:4),CE,1388.35511,4089.46923,1162.91638,3500.83364,4097.51394,1396.22066,1846.30456,3049.08089,6566.34053,3228.17436,5855.83051,1859.08499,3716.96914,5751.26973,8433.75117,6204.20254,2016.39915,4396.6081,7111.99677,4878.44216,4911.8265,2250.94821,2523.27831,4133.26993,4794.00452,2851.91812,6276.77005,1314.14061,2881.57439,2455.72838,937.69352,643.62914,1642.73086,15082.09812,8279.59646,4928.71776,6379.2496,4638.41362,1274.71492,11438.2594,10996.4661,3082.25903,6268.91476,6625.04825,3851.16876,8968.8515,3929.26048,3435.55577,5861.13333,8339.20102,4628.98542
CE(20:5),CE,329.95271,543.98343,116.45765,423.0632,389.63394,351.05014,258.83422,534.20153,1181.88851,952.34403,596.55653,192.56067,363.71766,1643.05986,1863.00211,1162.39919,374.8669,462.19611,1005.0622,696.15105,467.13026,213.4635,533.06315,1205.84546,1236.89326,503.12531,1080.04219,220.44393,455.07346,196.69843,149.24674,174.79172,430.60928,3923.7681,1343.01452,884.61318,2994.0583,605.31541,179.23031,3147.8262,2807.90872,845.92408,1038.59809,1275.18636,1411.1708,1270.96295,600.99413,637.79477,1802.5165,1970.78002,1443.22149
CE(22:4),CE,6.7595,23.40112,14.2426,35.27507,19.58034,10.17144,43.62028,21.6285,57.08495,12.8692,39.32238,67.11536,34.76062,175.36084,622.7655,179.00809,33.95248,305.41673,181.17785,66.54028,101.85166,71.63272,60.72873,90.71263,223.86641,53.86387,134.69812,18.2789,16.52452,12.60923,20.52228,1.94277,29.47109,639.44638,266.88962,196.0559,274.884,209.63584,20.68008,162.82625,391.78651,90.19258,128.95206,193.03674,139.80125,184.75594,141.53114,91.60892,179.32665,357.70587,180.72208
