column_id,sample,group
TAV_md_M1,TAV_md_M1,TAV_md 
TAV_md_M2,TAV_md_M2,TAV_md 
TAV_md_M3,TAV_md_M3,TAV_md 
TAV_md_M4,TAV_md_M4,TAV_md 
TAV_md_M5,TAV_md_M5,TAV_md 
TAV_md_M6,TAV_md_M6,TAV_md 
TAV_md_M7,TAV_md_M7,TAV_md 
TAV_md_M8,TAV_md_M8,TAV_md 
TAV_fib_M1,TAV_fib_M1,TAV_fib 
TAV_fib_M2,TAV_fib_M2,TAV_fib 
TAV_fib_M3,TAV_fib_M3,TAV_fib 
TAV_fib_M4,TAV_fib_M4,TAV_fib 
TAV_fib_M5,TAV_fib_M5,TAV_fib 
TAV_fib_M6,TAV_fib_M6,TAV_fib 
TAV_fib_M7,TAV_fib_M7,TAV_fib 
TAV_fib_M8,TAV_fib_M8,TAV_fib 
TAV_fib_M9,TAV_fib_M9,TAV_fib 
TAV_fib_M10,TAV_fib_M10,TAV_fib 
TAV_cal_M1,TAV_cal_M1,TAV_cal 
TAV_cal_M2,TAV_cal_M2,TAV_cal 
TAV_cal_M3,TAV_cal_M3,TAV_cal 
TAV_cal_M4,TAV_cal_M4,TAV_cal 
TAV_cal_M5,TAV_cal_M5,TAV_cal 
TAV_cal_M6,TAV_cal_M6,TAV_cal 
TAV_cal_M7,TAV_cal_M7,TAV_cal 
TAV_cal_M8,TAV_cal_M8,TAV_cal 
TAV_cal_M9,TAV_cal_M9,TAV_cal 
TAV_md_F1,TAV_md_F1,TAV_md 
TAV_md_F2,TAV_md_F2,TAV_md 
TAV_md_F3,TAV_md_F3,TAV_md 
TAV_md_F4,TAV_md_F4,TAV_md 
TAV_md_F5,TAV_md_F5,TAV_md 
TAV_md_F6,TAV_md_F6,TAV_md 
TAV_fib_F1,TAV_fib_F1,TAV_fib 
TAV_fib_F2,TAV_fib_F2,TAV_fib 
TAV_fib_F3,TAV_fib_F3,TAV_fib 
TAV_fib_F4,TAV_fib_F4,TAV_fib 
TAV_fib_F5,TAV_fib_F5,TAV_fib 
TAV_fib_F6,TAV_fib_F6,TAV_fib 
TAV_fib_F7,TAV_fib_F7,TAV_fib 
TAV_fib_F8,TAV_fib_F8,TAV_fib 
TAV_fib_F9,TAV_fib_F9,TAV_fib 
TAV_cal_F1,TAV_cal_F1,TAV_cal 
TAV_cal_F2,TAV_cal_F2,TAV_cal 
TAV_cal_F3,TAV_cal_F3,TAV_cal 
TAV_cal_F4,TAV_cal_F4,TAV_cal 
TAV_cal_F5,TAV_cal_F5,TAV_cal 
TAV_cal_F6,TAV_cal_F6,TAV_cal 
TAV_cal_F7,TAV_cal_F7,TAV_cal 
TAV_cal_F8,TAV_cal_F8,TAV_cal 
TAV_cal_F9,TAV_cal_F9,TAV_cal 
