lipid,TAV_md ,TAV_fib ,TAV_cal 
CE(16:0),133.738617143,339.373004211,376.305012778
CE(17:1),6.142710000,33.369036842,33.292041111
CE(18:0),13.016495714,63.187569474,54.449917778
CE(18:1),1359.724645714,3605.235050526,3430.363438333
CE(18:2),5904.574847143,13702.792135263,12155.114256111
CE(18:3),104.036115714,564.571951579,427.833490556
CE(20:3),219.843312143,1085.291289474,805.915227222
CE(20:4),2171.870807857,6006.758170000,5091.142992222
CE(20:5),326.717170000,1343.381599474,1021.777860556
CE(22:4),19.573402857,198.950174211,143.472940000
CE(22:5),41.958913571,236.718275263,170.023836667
CE(22:6),399.751600000,1392.390380000,1109.534124444
CE(24:4),14.467017143,164.611283684,71.471002222
CE(24:5),14.428947571,160.019592105,50.957371667
Cer(16:1;2/22:0),0.255890000,0.793441053,0.879137778
Cer(16:1;2/24:0),0.268925000,0.936391579,0.948758333
Cer(16:1;2/24:1),0.328348571,0.903634737,1.218617222
Cer(17:0;1/24:0),0.076546429,0.489774211,0.509463333
Cer(17:1;2/24:1),0.274180714,1.012406842,1.038565556
Cer(18:0;1/16:0),0.041973857,0.288446316,0.366225000
Cer(18:0;1/20:0),0.066055000,0.388666316,0.328660556
Cer(18:0;1/22:0),0.220865714,1.312682632,1.303760556
Cer(18:0;1/23:0),0.036432571,0.211856842,0.208582778
Cer(18:0;1/24:0),0.358648571,2.238103684,2.447843333
Cer(18:0;1/24:1),0.295745000,2.468281579,2.561876667
Cer(18:0;2/23:0),0.060587143,0.153776316,0.162296667
Cer(18:0;3/24:1),0.060542857,0.168175263,0.142997778
Cer(18:1;1/20:0),0.405639286,1.486042105,1.207715556
Cer(18:1;1/22:0),0.951952143,4.792321053,4.346819444
Cer(18:1;1/23:0),0.273122857,1.306438421,1.322866111
Cer(18:1;1/24:0),1.192436429,7.426757368,7.811326667
Cer(18:1;1/24:1),1.289072857,7.188574737,7.046545556
Cer(18:1;1/26:1),0.032984429,0.413661053,0.375655000
Cer(18:1;2/20:0),0.392236429,1.277602632,1.265952222
Cer(18:1;2/22:0),2.256011429,8.200837368,7.218232222
Cer(18:1;2/22:2),0.035793571,0.104328421,0.149056667
Cer(18:1;2/23:0),1.143102143,3.169650000,3.231307778
Cer(18:1;2/24:0),5.541346429,20.257300526,17.738292222
Cer(18:1;2/24:1),6.435357143,18.882717368,17.277098333
Cer(18:1;2/25:1),0.101308571,0.308527368,0.312340000
Cer(18:1;2/26:1),0.193961429,0.652290000,0.577997778
Cer(18:2;2/16:0),0.242252143,0.575706842,1.392736667
Cer(18:2;2/20:0),0.094457143,0.230998421,0.362468889
Cer(18:2;2/22:0),0.440770714,1.179035263,1.395052778
Cer(18:2;2/23:0),0.146205000,0.346274737,0.502780556
Cer(18:2;2/24:0),0.853287857,2.467427368,2.683271111
Cer(18:2;2/24:1),1.932696429,5.043983684,5.130761111
Cer(18:2;2/24:2),0.100004286,0.260333684,0.313224444
Cer(19:0;1/24:0),0.068930000,0.370768421,0.337218889
Cer(19:1;2/22:0),0.100125714,0.319771053,0.335598889
Cer(19:1;2/24:0),0.239706429,0.691266316,0.781677222
Cer(19:1;2/24:1),0.194727143,0.537559474,0.553835556
Cer(20:0;1/22:0),0.040364286,0.256477368,0.271341111
Cer(33:1;2),0.106342857,0.730466316,1.128957778
Cer(34:1;2),1.370459286,6.156510526,9.199293889
